time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450900000	11.7097	21.0616	4.91555	3.10569	0.552639	lidar	15.733	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4566	21.0514	4.93883	3.13923	0.558477	radar	1.22791	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2535	21.0419	4.84776	3.16848	0.560281	lidar	4.37348	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	10.9896	21.0083	4.90307	3.20489	0.567977	radar	4.38586	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7919	20.969	4.80343	3.23962	0.573911	lidar	3.43766	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5482	20.9599	4.74717	3.25936	0.562329	radar	4.88984	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.26	20.9852	4.86176	3.26909	0.546548	lidar	20.0846	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0241	20.964	4.84666	3.29229	0.542888	radar	0.981146	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.84386	20.9221	4.72951	3.32266	0.546664	lidar	9.30062	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.63039	20.8998	4.60007	3.33959	0.533653	radar	2.17565	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.44333	20.8488	4.52567	3.36942	0.53695	lidar	3.37423	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.23304	20.8029	4.51612	3.39485	0.536491	radar	1.37771	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.92071	20.7719	4.69617	3.40571	0.521814	lidar	15.0648	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.71387	20.6929	4.66583	3.43817	0.527472	radar	4.17327	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.41979	20.6115	4.80708	3.46103	0.52314	lidar	20.2336	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.19389	20.5319	4.80939	3.48788	0.52392	radar	0.0306334	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.94459	20.4515	4.85428	3.51023	0.520353	lidar	1.07466	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.72776	20.3678	4.87997	3.53688	0.523	radar	3.27687	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.40452	20.3043	5.05274	3.54088	0.503375	lidar	17.5437	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.17619	20.2077	5.00693	3.56366	0.499832	radar	0.386767	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.90662	20.1214	5.077	3.57736	0.49005	lidar	3.91244	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.69069	20.0282	4.99936	3.5972	0.484703	radar	0.82347	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.4408	19.9345	5.03854	3.61213	0.476873	lidar	3.11225	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.23423	19.8398	4.97752	3.63165	0.473142	radar	3.12276	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.96644	19.7435	5.05323	3.64106	0.460984	lidar	6.00269	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.72791	19.6029	5.14429	3.66752	0.46516	radar	1.38639	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.55814	19.4821	5.04683	3.69638	0.4707	lidar	9.44771	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.35714	19.3355	5.03786	3.72512	0.475152	radar	1.59829	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.14776	19.2329	5.01167	3.73862	0.467291	lidar	17.4698	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.97598	19.1182	4.86063	3.75872	0.463071	radar	4.77097	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.81219	18.9735	4.80728	3.78849	0.46897	lidar	1.97772	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
